Food Name,Standard Quantity,Type,Calories (kcal),Protein (g),Fat (g),Carbohydrates (g),Fiber (g),Sugars (g),Glycemic Index,Suitable for Diabetes,Suitable for Blood Pressure,Calcium (mg),Cholesterol (mg),Copper (mg),Iron (mg),Magnesium (mg),Manganese (mg),Monounsaturated Fats (g),Nutrition Density,Phosphorus (mg),Polyunsaturated Fats (g),Potassium (mg),Saturated Fats (g),Selenium (mcg),Sodium (mg),Vitamin A (mcg),Vitamin B1 (mg),Vitamin B11 (mcg),Vitamin B12 (mcg),Vitamin B2 (mg),Vitamin B3 (mg),Vitamin B5 (mg),Vitamin B6 (mg),Vitamin C (mg),Vitamin D (mcg),Vitamin E (mg),Vitamin K (mcg),Water (g),Zinc (mg)
abalone,100g,Protein,89,15.4,0.637,5.416,0,0,40,1,1,26.4,72.3,0.2,2.7,40.8,0.014,0.02,51.092,161.5,0.091,212.5,0.1,0.095,0.3,0.056,0.2,0.038,0.057,0.09,1.3,2.6,0.1,1.7,0,3.4,0.043,63.4,0.7
abiyuch,100g,Carbohydrates,157,3.036,0.179,35.812,12.1,19.5,50,1,1,18.2,0,0.1,3.7,54.7,0.4,0,201,107.2,0,693.1,0.065,0,0.093,0,0,0,0,0,0,0,0,123.3,0,0,0,0.182,0.7
acai (brazil),100g,Carbohydrates,41,0.82,0,9.43,5,2.33,43,1,1,91,0,1.743,2.43,18,7.348,23.879,53.76,725,24.399,113,16.134,1917,103,0,0.617,0.079,0,0.035,0.295,0.507,0.101,0.7,3.945,5.65,0,3.42,4.06
acai berries,100g,Carbohydrates,200,0,0,50,12,6.41,21,1,1,53,0,0.051,0.37,65,7.348,0.044,40.63,20,0.152,500,0.019,0.3,317,2,0.028,0.079,0,0.028,0.396,0.507,0.048,44.1,3.945,0.37,7.3,0.089,0.15
acerola cherries,100g,Carbohydrates,143,4.4,2.2,26.4,4,67.15,23,1,1,24,0,0.229,0.68,38,7.348,0.177,25.28,36,0.194,383,0.146,0.4,304,141,0.058,0.079,0,0.101,0.867,0.507,0.101,19.3,3.945,0.17,5.1,16.6,0.25
acerola cherry,100g,Carbohydrates,2,0.066,0.044,0.336,0.077,0,0,1,1,0,0,0.6,0.007,0.021,0.9,0.086,0.707,0,0.036,0.5,0.074,7,0.088,0,0,0.039,0.038,0,0.093,0.026,0.072,0.076,80.5,0,0,4.4,0.045
acerola cherry juice,100g,Carbohydrates,56,0.988,0.691,11.457,0.7,10.9,40,1,1,24.2,0,0.2,1.2,29,0,0.2,3911.4,21.8,0.2,234.7,0.2,0.061,0.082,0,0.067,0.084,0,0.1,1,0.5,0.051,3872,0,0.4,0.057,0.228,0.2
acorn dried,100g,Carbohydrates,144,2.207,8.538,14.582,0,0,55,1,1,15.3,0,0.2,0.3,23.2,0.4,5.6,42,29.1,1.7,200.6,1.2,0,0,0,0.005,0.085,0,0.021,0.7,0.3,0.2,0,0,0,0,1.4,0.2
acorn flour,100g,Carbohydrates,626,0,0,100,0,0,55,1,1,53.8,0,0.8,1.5,137.5,2.2,23.9,170.7,128.8,7.3,890,4.9,0,0,0,0.2,0.1,0,0.2,3,1.2,0.9,0,0,0,0,0,0.8
acorn raw,100g,Carbohydrates,110,1.64,6.561,11.096,0,0,55,1,1,11.6,0,0.2,0.2,17.5,0.4,4.3,31.8,22.4,1.3,152.5,0.9,0,0,0,0.016,0.06,0,0.045,0.5,0.2,0.1,0,0,0,0,7.9,0.1
acorn squash cooked,100g,Carbohydrates,115,2.011,0.262,26.148,9,0,55,1,1,90.2,0,0.2,1.9,88.2,0.5,0.072,155.7,92.3,0.1,895.9,0.023,0.07,0.5,0,0.3,0.031,0,0.008,1.8,1,0.4,22.1,0,0,0,0.17,0.3
acorn squash raw,100g,Carbohydrates,172,2.972,0.35,39.242,6.5,0,55,1,1,142.2,0,0.3,3,137.9,0.7,0.086,247.8,155.2,0.2,1495.6,0.091,0.077,0.017,0,0.6,0.06,0,0.071,3,1.7,0.7,47.4,0,0,0,0.378,0.6
acorns (north america),100g,Carbohydrates,184,2.191,8.762,24.095,13,6.993,54,1,1,115,4.178,10.219,1.479,61,7.348,1.557,27.01,81.581,1.174,206,1.031,56.024,12,12.536,0.136,0.079,0.053,0.096,1.296,0.507,0.191,11.557,3.945,0.505,6.621,64.953,0.727
adobo fresco,100g,Fat,780,0,86.667,0,3.7,5.8,60,1,1,354.2,0,0.088,9.2,66.2,0,43.1,503.4,109.4,5.9,538.6,8.4,0.024,49.4,0,0.1,0.094,0,0.037,1.4,0,0,16.7,0,7.7,0.088,0.064,0.7
adzuki beans,100g,Fat,475,0,52.778,0,0,0.31,11,1,1,93,0,0.202,1.96,162,2.115,2.828,5.01,135,2.897,332,1.017,4.6,392,0,0.181,0.724,0,0.054,0.322,0.485,0.167,0.5,0.46,1.62,10.9,0.059,0.94
"adzuki beans (japan, china)",100g,Protein,219,16.724,15.131,3.982,3,1.639,14,1,1,18,143.253,5.56,2.725,25,4.058,6.872,26.05,273.205,2.819,417,5.983,41.361,275,12.275,0.281,0.081,0.308,0.335,5.802,1.874,0.517,4.834,0.474,0.574,4.115,0.106,3.076
adzuki beans cooked,100g,Carbohydrates,294,17.011,0.197,56.047,16.8,0,30,1,1,0,0,64.4,0.7,4.6,119.6,0.021,92.2,1.3,0.024,386.4,0.067,1223.6,0.079,0,0,0.3,0.3,0,0.1,1.6,1,0.2,0,0,0,0.152,0.022
adzuki beans raw,100g,Protein,648,97.206,2.486,0.308,25,0,30,1,1,130,0,2.2,9.8,250.2,3.4,0.034,328.8,750.6,0.2,2470.4,0.4,0.055,0.06,0,0.9,1.2,0,0.4,5.2,2.9,0.7,0,0,0,0,0,9.9
after eight mints nestle,100g,Carbohydrates,36,0.099,0.994,6.663,0.2,5.6,40,1,1,1.1,0,0,0.062,0,0,0,9.163,0,0,0,0.7,0,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0
agar,100g,Carbohydrates,1,0.027,0.03,0.155,0.027,0.005,0,1,1,0.075,0,2.7,0.002,0.046,3.4,0.01,0.587,0.027,0.028,0.3,0.087,11.3,0.049,0,0,0.027,0.08,0,0.097,0.006,0.091,0.066,0,0,0.003,4.6,0.1
agar-agar,100g,Carbohydrates,47,0,0,11.75,13,6.993,18,1,1,158,4.178,10.219,1.479,16,7.348,1.557,138.87,81.581,1.174,434,1.031,56.024,95,12.536,0.136,0.079,0.053,0.096,1.296,0.507,0.191,11.557,3.945,0.505,6.621,0.076,0.727
agave syrup,100g,Carbohydrates,21,0.024,0.077,5.052,0.01,4.7,40,1,1,0.088,0,0.071,0.042,0.034,0.049,0,5.456,0.009,0,0.3,0,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0.008
alaska king crab cooked,100g,Protein,130,27.486,2.229,0,0,0,0,1,1,79.1,71,1.6,1,84.4,0.093,0.2,118.35,375.2,0.7,351.1,0.2,0.003,1.4,0.018,0.005,0.002,0.02,0.07,1.8,0.5,0.2,10.2,0,0,0,0.104,10.2
alaska king crab raw,100g,Protein,144,33.6,1.067,0,0,0,0,1,1,79.1,72.2,1.6,1,84.3,0.021,0.1,124.608,376.7,0.2,350.9,0.2,0.002,1.4,0.048,0.015,0.082,0.004,0.026,1.9,0.6,0.3,12,0,0,0,0.137,10.2
alfalfa seeds,100g,Protein,1,0.092,0.069,0.002,0.015,0.058,0,1,1,1,0,0.048,0.034,0.8,0.024,0.067,1.435,2.1,0.057,2.4,0.029,0.076,0.048,0,0.065,0.008,0,0.078,0.02,0.051,0.021,0.2,0,0.036,0.042,2.8,0.071
allspice,100g,Fat,567,0,63,0,2,3.963,23,1,1,312,39.069,2.67,1.455,35,2.115,7.485,9.71,147.754,4.689,588,6.559,18.204,93,41.78,0.17,0.724,0.346,0.183,1.937,0.485,0.177,4.532,0.46,1.942,12.119,0.048,1.417
allspice ground,100g,Carbohydrates,5,0.064,0.128,0.897,0.4,0,40,1,1,12.6,0,0.011,0.1,2.6,0.036,0.084,15.5,2.1,0.063,19.8,0.034,0.02,0.001,0,0.026,0.079,0,0.08,0.088,0,0.03,0.7,0,0,0,0.2,0.015
almond butter,100g,Fat,614,18.863,51.874,17.92,11.6,0.7,0,1,1,268,0,0.1,0.6,303,0.3,5.2,73,81.3,2.2,749,0.7,0.054,0,0,0.039,0.017,0,0.2,0.5,0.016,0.072,0,0,3.9,0,0.3,0.5
almond flour,100g,Carbohydrates,268,15.041,10.939,27.347,8,1.44,20,1,1,94,57,0.143,0.87,30,7.348,6.401,20.28,172,3.938,307,1.969,12.7,12,19,0.051,0.079,0.21,0.212,4.616,0.507,0.181,10.9,3.945,2.8,14.6,46.673,1.16
almond granola bar,100g,Carbohydrates,119,1.76,5.965,14.569,1.2,0,30,1,1,7.7,0,0.017,0.6,19.4,0.3,1.9,32.3,54.7,0.9,65.5,3,0.06,0.067,0,0.031,0.009,0,0,0.1,0.1,0.077,0,0,0,0,0.7,0.4
almond meal,100g,Fat,556,0,61.778,0,12,1.44,25,1,1,345,57,0.143,0.87,97,2.115,6.401,11.72,172,3.938,766,1.969,12.7,106,19,0.051,0.724,0.21,0.212,4.616,0.485,0.181,10.9,0.46,2.8,14.6,0.065,1.16
almond milk,100g,Fat,39,1.054,3.162,1.581,0.6,4.77,25,1,1,113,0,0.019,0.27,12,2.115,0.566,15.17,9,0.23,170,0.077,0.1,186,86,0,0.724,0,0.01,0.067,0.485,0,0,0.46,2.7,0,92.68,0.06
almond milk (unsweetened),100g,Fat,388,0,43.111,0,6,0.81,14,1,1,445,0,0.02,0.28,59,2.115,0.59,8.82,9,0.24,727,0.08,0.1,112,90,0,0.724,0,0.01,0.07,0.485,0,0,0.46,2.81,0,0.097,0.06
almond oil,100g,Fat,292,8.95,23.494,11.188,6,0,1,1,1,308,0,0,0,47,0,9.5,13.6,0,2.4,723,1.1,0,273,0,0,0,0,0,0,0,0,0,0,5.3,0.053,0,0
almond paste,100g,Fat,900,0,100,0,10.9,82.3,30,0,1,390.4,0,1,3.6,295.1,1.9,40.9,597,585.7,13.2,712.8,6,0.037,0.051,0,0.2,0.2,0,0.9,3.2,0.3,0.051,0.2,0,30.7,0,0,3.4
almond rice bar,100g,Carbohydrates,128,1.944,5.54,17.591,1,0,30,1,1,20.7,0,0.057,1.8,19.9,0.4,2.1,52.5,46.8,2.2,64.1,1.1,0,0,0,0.4,0,0,0.4,4.9,0.2,0.5,3.2,0,0,0,1.9,1.5
almonds,100g,Fat,579,19.788,46.578,20.162,12.5,4.86,0,1,1,264,0,1.099,3.73,270,2.115,33.076,15.21,471,12.955,733,4.092,2,1,0,0.077,0.724,0,1.197,3.637,0.485,0.136,0,0.46,23.9,0,2.41,3.31
almonds raw,100g,Fat,9,0.31,0.724,0.31,0.2,0.026,0,1,1,4,0,0.007,0.082,4,0.007,0.5,5.554,7.3,0.2,10.6,0.04,0.013,0.043,0,0.079,0.073,0,0.066,0.052,0.068,0.029,0,0,0.4,0,0.026,0.061
almonds roasted,100g,Fat,182,5.937,15.399,4.916,3.2,1.4,30,1,1,87.3,0,0.3,1.1,82.2,0.7,10.4,119.9,139.8,4.1,209.7,1.3,0.017,0.029,0,0.055,0.032,0,0.2,1.1,0.049,0.065,0,0,7.8,0,0.8,0.9
aloo gobi,100g,Carbohydrates,180,0,0,45,5,6.993,40,1,1,60,4.178,10.219,1.479,30,7.348,1.557,19.23,81.581,1.174,500,1.031,56.024,400,12.536,0.136,0.079,0.053,0.096,1.296,0.507,0.191,11.557,3.945,0.505,6.621,0.076,0.727
aloo paratha,100g,Carbohydrates,320,8,12,45,5,4.15,35,1,1,45,1,0.146,1.61,28,7.348,3.837,10.72,120,2.484,410,5.826,7.1,460,2,0.088,0.079,0,0.076,1.83,0.507,0.08,0,3.945,1.35,3.4,33.5,0.82
amaranth,100g,Carbohydrates,155,0,0,38.75,2,6.993,17,1,1,164,4.178,10.219,1.479,36,7.348,1.557,12.34,81.581,1.174,595,1.031,56.024,106,12.536,0.136,0.079,0.053,0.096,1.296,0.507,0.191,11.557,3.945,0.505,6.621,0.076,0.727
amaranth (north america),100g,Carbohydrates,39,0,0,9.75,5,6.993,49,1,1,196,4.178,10.219,1.479,60,7.348,1.557,69.47,81.581,1.174,323,1.031,56.024,378,12.536,0.136,0.079,0.053,0.096,1.296,0.507,0.191,11.557,3.945,0.505,6.621,0.076,0.727
amaranth cooked,100g,Carbohydrates,251,9.108,3.819,45.049,5.2,0,35,1,1,115.6,0,0.4,5.2,159.9,2.1,0,185.2,364.1,0,332.1,0,0.074,0.095,0,0.048,0.025,0,0.033,0.6,0,0.3,0,0,0.5,0,0.185,2.1
amaranth flakes,100g,Carbohydrates,134,5.071,2.321,23.207,3.6,0.2,50,1,1,6.5,0,0.011,0.7,9.5,0,0.8,47.4,125.8,1,134.1,0.5,0.009,0.067,0,0.033,0.025,0,0,1,0,0.006,1,0,0.5,0.007,1.1,0.011
amaranth flour,100g,Protein,77,9.625,0,9.625,4,3.71,21,1,1,120,0,0.104,3.63,42,7.348,1.751,39.19,206,2.29,233,2.924,22.3,330,0,0.503,0.079,0,0.282,4.415,0.507,0.059,0,3.945,0,7.2,31.98,0.53
"amaranth grain (mexico, peru)",100g,Carbohydrates,180,0,0,45,3,6.993,44,1,1,32,4.178,10.219,1.479,65,7.348,1.557,11.84,81.581,1.174,295,1.031,56.024,140,12.536,0.136,0.079,0.053,0.096,1.296,0.507,0.191,11.557,3.945,0.505,6.621,0.076,0.727
amaranth greens (various african countries),100g,Carbohydrates,180,9,0,36,14,6.993,41,1,1,29,4.178,10.219,1.479,55,7.348,1.557,30.1,81.581,1.174,274,1.031,56.024,103,12.536,0.136,0.079,0.053,0.096,1.296,0.507,0.191,11.557,3.945,0.505,6.621,55,0.727
amaranth leaves,100g,Carbohydrates,6,0.533,0.057,0.838,0,0,40,1,1,60.2,0,0.052,0.6,15.4,0.2,0.033,74.73,14,0.025,171.1,0.072,0.058,0.071,0,0.046,0.029,0,0.042,0.2,0.039,0.009,12.1,0,0,0.3,25.7,0.3
amaranth raw,100g,Carbohydrates,37,1.367,0.683,6.346,0.7,0.2,40,1,1,15.9,0,0.048,0.8,24.8,0.3,0.2,26.4,55.7,0.3,50.8,0.1,0.05,0.077,0,0.084,0.065,0,0.004,0.073,0.1,0.024,0.4,0,0.1,0,1.1,0.3
american cheese,100g,Fat,93,4.515,7.926,0.903,0,0.6,0,1,1,261.3,25,0.034,0.2,6.5,0.086,2.1,274.886,160.3,0.3,33,4.5,0.014,0.4,0.036,0.064,0.069,0.012,0.068,0.023,0.1,0.06,0,0.007,0.2,0.093,9.9,0.6
american cheese spread,100g,Fat,46,2.567,3.356,1.382,0,1.2,30,1,1,89.9,8.8,0.061,0.079,4.6,0.062,1,97.357,140,0.062,38.7,2.1,0.052,0.3,0.043,0.012,0.066,0.022,0.076,0.089,0.1,0.086,0,0.014,0.022,0.046,7.6,0.4
american grapes,100g,Carbohydrates,2,0.028,0.069,0.317,0.09,0.4,0,1,1,0.3,0,0.094,0.099,0.1,0.1,0.082,0.93,0.2,0.074,4.6,0.029,0.03,0.056,0,0.06,0.049,0,0.025,0.045,0.05,0.061,0.032,0,0.027,0.052,2,0.091
american shad cooked,100g,Fat,363,0,40.333,0,0,0,0,1,1,86.4,138.2,0.1,1.8,54.7,0.027,0,144.967,502.6,0,708.5,0,0.035,0.043,0.031,0.3,0.008,0.065,0.4,15.5,1.2,0.7,0,0,0,0,0.085,0.7
american shad raw,100g,Protein,362,32.041,25.982,0,0,0,0,1,1,86.5,138,0.1,1.8,55.2,0.017,10.5,144.868,500.5,6,706.6,5.8,0.092,0.001,0.009,0.3,0.096,0.057,0.4,15.5,1.4,0.7,0,0.097,2.2,0.019,0.126,0.7
amp energy pepsi,100g,Carbohydrates,110,0.549,0.183,26.539,0,29,65,0,1,31.2,0,0.044,0.053,7.2,0,0,61.067,40.8,0,7.2,0,0.075,0.093,0,0.078,0,0.083,0.8,4.8,2.4,0.5,0,0,0,0,0.209,0
amp energy sugar free pepsi,100g,Carbohydrates,5,0,0,1.25,0,0,70,1,1,0,0,0.095,0,7.2,0,0,2.5,40.8,0,4.8,0,0.038,0.093,0,0,0,0.084,0.3,2,1,0.2,0,0,0,0,0.236,0
anasazi beans,100g,Carbohydrates,187,0,0,46.75,9,0.31,52,1,1,189,0,0.202,1.96,13,7.348,2.828,23.09,135,2.897,211,1.017,4.6,397,0,0.181,0.079,0,0.054,0.322,0.507,0.167,0.5,3.945,1.62,10.9,0.059,0.94
ancho pepper dried,100g,Carbohydrates,48,1.733,1.213,7.538,3.7,0,40,1,1,10.4,0,0.079,1.9,19.2,0.2,0.08,28.4,34.2,0.8,409.9,0.1,0.046,0.068,0,0.055,0.082,0,0.4,1.1,0.3,0.6,0.3,0,0,0,3.8,0.2
anchovy canned in oil,100g,Protein,8,1.143,0.381,0,0,0,0,1,1,9.3,3.4,0.097,0.2,2.8,0.005,0.2,11.106,10.1,0.1,21.8,0.001,0.023,0.1,0.012,0,0.007,0.061,0.071,0.8,0.008,0.082,0,0.07,0.1,0.013,2,0.031
anchovy raw,100g,Protein,37,5.994,1.447,0,0,0,0,1,1,41.6,17,0.071,0.9,11.6,0.025,0.3,49.714,49.2,0.5,108.4,0.4,0.045,0.012,0.097,0.055,0.029,0.032,0.009,4,0.2,0.067,0,0,0.2,0.015,20.8,0.5
anejo cheese,100g,Protein,492,90,10,0,0,6.1,30,1,1,897.6,138.6,0.058,0.6,37,0.067,11.3,972.205,586.1,1.2,114.8,25.1,0.095,1.5,0.098,0.069,0.081,0.077,0.3,0.088,0.3,0.011,0,0.032,0.3,0.078,0,3.9
angel food cake,100g,Carbohydrates,72,1.668,0.196,15.891,0.4,0,40,1,1,39.2,0,0.058,0.1,3.4,0.012,0.095,57.8,90.7,0.1,26,0.071,0.095,0.2,0,0.095,0.039,0.035,0.1,0.2,0.046,0.058,0,0,0,0,9.3,0.055
anise,100g,Carbohydrates,459,0,0,100,5,6.993,17,1,1,154,4.178,10.219,1.479,60,7.348,1.557,6.19,81.581,1.174,273,1.031,56.024,157,12.536,0.136,0.079,0.053,0.096,1.296,0.507,0.191,11.557,3.945,0.505,6.621,0,0.727
anise seeds,100g,Carbohydrates,7,0.322,0.241,0.885,0.3,0,40,1,1,13.6,0,0.024,0.8,3.6,0.031,0.2,16.9,9.2,0.066,30.3,0.06,0.05,0.1,0,0.058,0.002,0,0.091,0.09,0.058,0.01,0.4,0,0,0,0.2,0.1
appaloosa beans,100g,Carbohydrates,198,5.5,0,44,13,0.31,15,1,1,38,0,0.202,1.96,82,7.348,2.828,26.84,135,2.897,507,1.017,4.6,67,0,0.181,0.079,0,0.054,0.322,0.507,0.167,0.5,3.945,1.62,10.9,50.5,0.94
"appam (fermented rice pancake, south india)",100g,Carbohydrates,156,4.5,0,34.5,12,6.993,16,1,1,92,4.178,10.219,1.479,56,7.348,1.557,32.57,81.581,1.174,273,1.031,56.024,190,12.536,0.136,0.079,0.053,0.096,1.296,0.507,0.191,11.557,3.945,0.505,6.621,61,0.727
apple,100g,Carbohydrates,52,0.264,0.176,12.339,2.4,18.9,39,1,1,6,0,10.9,0.086,5,9.1,0.002,30.438,0.01,0.094,107,0.043,194.7,1,0,0,0.094,0.03,0,0.084,0.2,0.1,0.03,8.4,0,0.3,0.156,0
apple (fuji),100g,Carbohydrates,163,19.405,0,21.345,15,57.19,16,1,1,22,0,0.191,1.4,28,7.348,0.013,42.97,38,0.093,434,0.052,1.3,132,0,0,0.079,0,0.159,0.927,0.507,0.125,3.9,3.945,0.53,3,31.76,0.2
apple (gala),100g,Carbohydrates,78,1.268,1.902,13.952,7,57.19,55,1,1,54,0,0.191,1.4,66,7.348,0.013,38.07,38,0.093,301,0.052,1.3,223,0,0,0.079,0,0.159,0.927,0.507,0.125,3.9,3.945,0.53,3,31.76,0.2
apple (granny smith),100g,Carbohydrates,76,0,0,19,14,6.993,46,1,1,42,4.178,10.219,1.479,39,7.348,1.557,73,81.581,1.174,509,1.031,56.024,243,12.536,0.136,0.079,0.053,0.096,1.296,0.507,0.191,11.557,3.945,0.505,6.621,0.076,0.727
apple (honeycrisp),100g,Carbohydrates,78,2.69,2.69,10.759,6,57.19,23,1,1,23,0,0.191,1.4,92,7.348,0.013,35.97,38,0.093,235,0.052,1.3,453,0,0,0.079,0,0.159,0.927,0.507,0.125,3.9,3.945,0.53,3,31.76,0.2
apple (pink lady),100g,Carbohydrates,199,5.632,3.755,35.669,2,6.993,17,1,1,188,4.178,10.219,1.479,16,7.348,1.557,10.94,81.581,1.174,275,1.031,56.024,437,12.536,0.136,0.079,0.053,0.096,1.296,0.507,0.191,11.557,3.945,0.505,6.621,54.943,0.727
apple butter,100g,Carbohydrates,35,0.045,0.063,8.562,0.3,7.1,30,1,1,2.8,0,0.085,0.025,0.8,0.093,0.066,11.836,1.6,0.064,18.2,0.038,0.078,0.003,0,0.078,0.02,0,0.053,0.092,0.005,0.057,0.1,0,0.06,0.075,11.3,0.095
apple crisp,100g,Carbohydrates,454,4.822,9.548,85.63,3.9,55.5,30,0,1,98.7,0,0.2,2.3,22.6,0.4,3.8,212.724,79,3.2,220,1.9,0.055,1,0.001,0.2,0.039,0,0.2,2.4,0.3,0.1,6.2,0,1.1,0.056,0,0.5
apple croissant,100g,Carbohydrates,145,4.166,4.959,20.927,1.4,0,70,1,1,17.1,17.7,0.006,0.6,7.4,0.1,1.4,49.733,33.1,0.4,51.3,2.8,0.024,0.2,0.031,0.1,0.022,0.035,0.022,0.9,0.3,0.038,0.3,0,0,0,26,0.6
apple dippers mcdonalds,100g,Carbohydrates,33,0,0,8.25,0,6.3,30,1,1,42.2,0,0,0.021,0,0,0,238.864,0,0,0,0,0,0,0.088,0,0,0,0,0,0,0,188.4,0,0.001,0,59.5,0
apple dried,100g,Carbohydrates,145,0.542,0.181,35.302,5.1,34,30,0,1,7.7,0,0.1,0.8,10.2,0.051,0.022,56.1,23,0.041,267.8,0.088,0.076,0.024,0,0.093,0,0,0.013,0.3,0.1,0.1,2.6,0,0.3,0.036,0.214,0.1
apple juice,100g,Carbohydrates,114,0.197,0.296,27.636,0.5,23.9,30,1,1,0,0,19.8,0.065,0.3,12.4,0.078,29.087,0.2,0.09,17.4,0.064,250.5,0.038,0,0,0.083,0,0,0.019,0.2,0.1,0.025,2.2,0,0.057,0.219,0.039
apple juice concentrate,100g,Carbohydrates,350,1.077,0.783,84.662,0.8,81.9,30,0,1,42.2,0,0.1,1.9,35.9,0.5,0.053,137.7,52.8,0.2,945.3,0.1,0.067,0.049,0,0.029,0.005,0,0.1,0.3,0.5,0.2,4.4,0,0.022,0,0.12,0.3
apple juice martinellis,100g,Carbohydrates,122,0,0,30.5,0,0,0,1,1,0,0,0,0,0,0,29.1,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
apple pie,100g,Carbohydrates,331,0,0,82.75,0,0,30,1,1,8.8,0,0.02,1.4,8.8,0.2,6.7,77.358,35,4.2,98.8,3.8,0.077,0.3,0.078,0.2,0.02,0,0.1,1.5,0.1,0.009,2.1,0,0,0,0.059,0.2
apple strudel,100g,Carbohydrates,195,2.265,7.879,28.758,1.6,18.3,30,1,1,10.7,4.3,0.092,0.3,6.4,0.1,2.3,53.359,23.4,3.8,105.8,1.5,0.034,0.02,0.011,0.087,0.082,0.009,0.016,0.2,0.2,0.031,1.2,0,1,0.002,30.9,0.1
apples,100g,Carbohydrates,87,0,0,21.75,10,10.48,39,1,1,127,0,0.031,0.08,97,7.348,0.004,79.04,8,0.03,241,0.02,0.3,92,1,0.04,0.079,0,0.017,0.087,0.507,0.041,64.5,3.945,0.22,0.6,0.088,0.02
applesauce,100g,Carbohydrates,102,0.36,0.18,24.735,2.7,22.9,30,1,1,0.043,0,9.8,0.014,0.6,7.3,0.036,30.923,0.074,0.09,12.2,0.028,180.6,0.031,0,0,0.07,0.029,0,0.085,0.2,0.1,0.08,2.4,0,0.4,0.215,0.007
apricot,100g,Carbohydrates,17,0.459,0.092,3.584,0.7,3.2,40,1,1,0.039,0,4.6,0.012,0.1,3.5,0.099,5.334,0.056,0.028,8.1,0.03,90.7,0.02,0,0,0.017,0.038,0,0.012,0.2,0.09,0.026,3.5,0,0.3,30.2,0.031
apricot (dried),100g,Carbohydrates,79,6.449,1.612,9.673,10,53.44,36,1,1,175,0,0.343,2.66,75,7.348,0.074,55.75,71,0.074,493,0.017,2.2,225,180,0.015,0.079,0,0.074,2.589,0.507,0.143,1,3.945,4.33,3.1,30.89,0.39
apricot (fresh),100g,Protein,38,4.368,1.31,2.184,10,53.44,46,1,1,179,0,0.343,2.66,86,4.058,0.074,148.78,71,0.074,583,0.017,2.2,242,180,0.015,0.081,0,0.074,2.589,1.874,0.143,1,0.474,4.33,3.1,30.89,0.39
apricot dried,100g,Carbohydrates,17,0.183,0.014,4.036,0.5,3.7,40,1,1,3.9,0,0.02,0.2,2.2,0.038,0.083,9.329,5,0.031,81.3,0.02,0.04,0.066,0,0.042,0.064,0,0.086,0.2,0.055,0.017,0.012,0,0.3,0.088,2.2,0.055
apricot jam,100g,Carbohydrates,48,0.092,0.009,11.887,0.044,8.7,40,1,1,4,0,0.07,0.066,0.8,0.099,0,18.91,0.6,0,15.4,0.042,0.009,0.004,0,0,0.017,0,0.053,0.096,0.087,0.068,1.8,0,0.048,0,6.9,0.062
apricot juice,100g,Carbohydrates,117,1.382,0.064,27.723,3.9,26.2,65,0,1,0.053,0,29.3,0.1,0.7,24.4,0.048,35.804,0.1,0.065,48.8,0.008,402.6,0.024,0,0,0.048,0.043,0,0.025,0.8,0.2,0.1,12,0,1.5,0.211,0.028
apricot kernel oil,100g,Fat,40,0,4.444,0,0,0,0,1,1,0,0,0,0,0,0,2.7,4.5,0,1.3,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0
apricot nectar,100g,Carbohydrates,139,0.844,0.188,33.484,1.5,34.2,65,0,1,17.4,0,0.2,0.9,12.4,0.008,0.085,58.1,22.3,0.039,282.7,0.07,0,0.025,0,0.044,0.059,0,0.014,0.6,0.2,0.036,1.5,0,0.8,0.008,0.21,0.2
apricots (fresh),100g,Carbohydrates,106,0,0,26.5,7,1.41,55,1,1,116,0,0.034,0.3,44,7.348,0,41.22,10,0,517,0,0.3,15,36,0.008,0.079,0,0.013,0.195,0.507,0.03,21.6,3.945,0.1,0.4,0.083,0.05
arame,100g,Carbohydrates,131,5.696,5.696,14.239,13,6.993,28,1,1,91,4.178,10.219,1.479,26,7.348,1.557,43.65,81.581,1.174,552,1.031,56.024,266,12.536,0.136,0.079,0.053,0.096,1.296,0.507,0.191,11.557,3.945,0.505,6.621,74.37,0.727
arayes,100g,Carbohydrates,380,0,0,95,3,6.993,50,1,1,100,4.178,10.219,1.479,35,7.348,1.557,15.4,81.581,1.174,400,1.031,56.024,780,12.536,0.136,0.079,0.053,0.096,1.296,0.507,0.191,11.557,3.945,0.505,6.621,0.076,0.727
arepa,100g,Carbohydrates,215,5.403,5.302,36.417,2.5,0.9,50,1,1,87.2,4.9,0.09,1,26.5,0.1,1.5,137.897,114.7,1,86.2,2.8,0.04,0.3,0.011,0.021,0,0,0.05,0.9,0.2,0.1,0,0,0.3,0.041,49.8,0.8
aronia berries,100g,Carbohydrates,125,0,0,31.25,6,6.41,19,1,1,85,0,0.051,0.37,98,7.348,0.044,47.96,20,0.152,573,0.019,0.3,305,2,0.028,0.079,0,0.028,0.396,0.507,0.048,44.1,3.945,0.37,7.3,0.089,0.15
