Food Name,Standard Quantity,Type,Calories (kcal),Protein (g),Fat (g),Carbohydrates (g),Fiber (g),Sugars (g),Glycemic Index,Suitable for Diabetes,Suitable for Blood Pressure,Calcium (mg),Cholesterol (mg),Copper (mg),Iron (mg),Magnesium (mg),Manganese (mg),Monounsaturated Fats (g),Nutrition Density,Phosphorus (mg),Polyunsaturated Fats (g),Potassium (mg),Saturated Fats (g),Selenium (mcg),Sodium (mg),Vitamin A (mcg),Vitamin B1 (mg),Vitamin B11 (mcg),Vitamin B12 (mcg),Vitamin B2 (mg),Vitamin B3 (mg),Vitamin B5 (mg),Vitamin B6 (mg),Vitamin C (mg),Vitamin D (mcg),Vitamin E (mg),Vitamin K (mcg),Water (g),Zinc (mg)
heirloom pea shoots,100g,Fat,298,0,33.111,0,11,3.963,3,1,1,416,39.069,2.67,1.455,232,2.115,7.485,21.2,147.754,4.689,607,6.559,18.204,384,41.78,0.17,0.724,0.346,0.183,1.937,0.485,0.177,4.532,0.46,1.942,12.119,0.048,1.417
heirloom pear (anjou),100g,Fat,247,2.43,23.485,6.479,4,3.963,25,1,1,180,39.069,2.67,1.455,156,2.115,7.485,9.55,147.754,4.689,159,6.559,18.204,191,41.78,0.17,0.724,0.346,0.183,1.937,0.485,0.177,4.532,0.46,1.942,12.119,48.487,1.417
heirloom pear (bosc),100g,Fat,274,0,30.444,0,9,3.963,23,1,1,485,39.069,2.67,1.455,87,2.115,7.485,26.42,147.754,4.689,307,6.559,18.204,217,41.78,0.17,0.724,0.346,0.183,1.937,0.485,0.177,4.532,0.46,1.942,12.119,0.048,1.417
heirloom plum (black),100g,Fat,166,6.968,15.165,0.41,4,3.963,10,1,1,419,39.069,2.67,1.455,137,2.115,7.485,32.79,147.754,4.689,251,6.559,18.204,42,41.78,0.17,0.724,0.346,0.183,1.937,0.485,0.177,4.532,0.46,1.942,12.119,48.487,1.417
heirloom plum (red),100g,Fat,237,0,26.333,0,6,3.963,6,1,1,146,39.069,2.67,1.455,81,2.115,7.485,21.73,147.754,4.689,609,6.559,18.204,203,41.78,0.17,0.724,0.346,0.183,1.937,0.485,0.177,4.532,0.46,1.942,12.119,0.048,1.417
heirloom quail,100g,Fat,473,0,52.556,0,9,0,15,1,1,307,86,0.59,4.41,52,2.115,4.871,10.85,278,3.472,378,3.938,21.7,391,70,0.219,0.724,0.36,0.299,7.887,0.485,0.617,2.3,0.46,0.7,4.2,0.06,3.09
heirloom quince,100g,Fat,126,0,14,0,6,3.963,6,1,1,264,39.069,2.67,1.455,131,2.115,7.485,45.95,147.754,4.689,52,6.559,18.204,125,41.78,0.17,0.724,0.346,0.183,1.937,0.485,0.177,4.532,0.46,1.942,12.119,0.048,1.417
heirloom rabbit,100g,Fat,525,0,58.333,0,2,0,8,1,1,382,122,0.175,4.83,56,2.115,0.946,6.39,239,0.677,663,1.046,15.1,339,0,0.02,0.724,6.48,0.07,6.373,0.485,0.339,0,0.46,0.41,1.5,0.061,2.37
heirloom rambutan,100g,Fat,115,0,12.778,0,9,3.963,24,1,1,438,39.069,2.67,1.455,11,2.115,7.485,51.4,147.754,4.689,548,6.559,18.204,378,41.78,0.17,0.724,0.346,0.183,1.937,0.485,0.177,4.532,0.46,1.942,12.119,0.048,1.417
heirloom rapini,100g,Carbohydrates,333,9.336,21.785,24.898,0,6.993,10,1,1,208,4.178,10.219,1.479,155,7.348,1.557,4.76,81.581,1.174,248,1.031,56.024,292,12.536,0.136,0.079,0.053,0.096,1.296,0.507,0.191,11.557,3.945,0.505,6.621,43.981,0.727
